959,446,74,78.15,1
961,401,62,68.90,0
929,402,61,68.18,0
938,450,60,71.25,0
937,480,59,72.92,0
927,475,62,73.97,0
941,425,69,73.96,0
900,410,67,71.50,0
962,471,60,73.00,0
943,452,58,70.44,0
952,481,52,69.63,0
952,496,56,72.72,0
902,421,58,67.81,0
854,452,62,71.63,0
999,412,60,69.04,0
985,480,59,73.36,0
975,420,67,72.90,0
925,421,62,70.02,0
1001,480,58,73.00,0
910,425,63,70.68,0
912,410,63,69.60,0
852,420,60,68.29,0
1010,421,64,71.80,0
1001,450,52,67.82,0
952,451,53,67.95,0
941,471,56,70.80,0
963,481,54,70.73,0
952,475,59,72.70,0
899,410,58,66.99,0
985,452,59,71.32,0
963,471,60,73.00,0
926,465,54,69.23,0
952,465,57,70.97,0
952,435,62,71.29,0
958,471,55,70.46,0
964,452,52,67.63,0
841,412,51,63.10,0
874,481,57,71.42,0
841,471,59,71.40,0
854,481,56,70.74,0
714,468,54,67.52,0
952,439,57,69.08,0
845,472,51,67.50,0
841,459,62,72.02,0
745,460,55,67.72,0
854,473,54,69.16,0
810,483,57,70.99,0
741,452,59,69.10,0
751,452,52,65.70,0
754,410,65,69.17,0
764,452,62,70.81,0
